,pathway_name,pathway_description,ko_id
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K01966
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K01847
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K11517
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K03781
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K00049
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K19269
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K00830
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K01915
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K00600
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K00281
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K00605
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K00382
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K02437
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K01816
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K11529
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K18123
11,hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),K01432
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K01895
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K01908
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K00166
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K00167
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K09699
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K00382
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K00248
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K00232
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K07515
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K07514
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K07511
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K05605
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K11262
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K01946
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K01578
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K13524
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K01965
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K01966
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K18426
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K05606
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K01847
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K01899
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K01900
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K00140
12,hsa00640,Propanoate metabolism - Homo sapiens (human),K00016
13,hsa00650,Butanoate metabolism - Homo sapiens (human),K00626
13,hsa00650,Butanoate metabolism - Homo sapiens (human),K00022
13,hsa00650,Butanoate metabolism - Homo sapiens (human),K07515
13,hsa00650,Butanoate metabolism - Homo sapiens (human),K07514
13,hsa00650,Butanoate metabolism - Homo sapiens (human),K07511
13,hsa00650,Butanoate metabolism - Homo sapiens (human),K00248
13,hsa00650,Butanoate metabolism - Homo sapiens (human),K23756
13,hsa00650,Butanoate metabolism - Homo sapiens (human),K01896
13,hsa00650,Butanoate metabolism - Homo sapiens (human),K00109
13,hsa00650,Butanoate metabolism - Homo sapiens (human),K01580
13,hsa00650,Butanoate metabolism - Homo sapiens (human),K13524
13,hsa00650,Butanoate metabolism - Homo sapiens (human),K00139
13,hsa00650,Butanoate metabolism - Homo sapiens (human),K01641
13,hsa00650,Butanoate metabolism - Homo sapiens (human),K01640
13,hsa00650,Butanoate metabolism - Homo sapiens (human),K01027
13,hsa00650,Butanoate metabolism - Homo sapiens (human),K01907
13,hsa00650,Butanoate metabolism - Homo sapiens (human),K00019
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00914
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01108
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K18081
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K18082
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K18083
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K18086
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00888
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K19801
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K13711
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K21797
14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K21798
